,absolute_tidy_tweets,stopped_tweets,positive,negative,total,StSc,sentiment
26904,Way academic break diha Puol nman,way academic break diha puol nman,0,0,6,0.0,0
26905,will play a role though they need some fundamental revisions in form and function And early career scholars must serve the academic corporate proprietary brands to survive but that does not mean you can t also make plans to break free of that system as best you can,play role though need fundamental revisions form function early career scholars must serve academic corporate proprietary brands survive mean also make plans break free system best,3,-2,48,0.2,1
26906,With the academic year calendar published by the Ministry of National Education MEB the holiday dates became obvious Students who wonder when the semester break will start want to both relax and take a vacation t co HN cGIlr J,academic year calendar published ministry national education meb holiday dates became obvious students wonder semester break start want relax take vacation co hn cgilr j,2,0,40,0.3333333333333333,1
26907,ganto pala mararanasan ako after academic break nagsibagsakan mga activities,ganto pala mararanasan academic break nagsibagsakan activities,0,-2,10,0.0,0
26909,alaaa si sir naman jusko academic break daw pero may pinagagawa,alaaa si sir naman jusko academic break daw pinagagawa,0,0,11,0.0,0
26910,What if academic break t co m E R KdM,academic break co e r kdm,0,0,10,0.0,0
26912,academic break akong gipangayo pero academic breakdown ang niabot,academic break akong gipangayo academic breakdown niabot,0,-2,9,0.0,0
26913,academic break pero ang daming pending act,academic break daming pending act,0,0,7,0.0,0
26914,Me because its academic break but stressing because midterms is coming but still not doing anything because I m enjoying academic break t co VhHSncQomN,academic break stressing midterms coming still anything enjoying academic break co vhhsncqomn,1,-2,25,-0.3333333333333333,0
26915,I read a little on my lunch break and wwow I forgot how dense academic papers can be to read but it s got some really interesting stuff I ve basically forgotten most of its content thank for the recc,read little lunch break wwow forgot dense academic papers read got really interesting stuff basically forgotten content thank recc,3,-2,40,0.2,1
26916,want ko ire read kaso my academic break will end naa pipili pa ako if i want to re read hn or in his lens t co UPgQDj D f,want ire read kaso academic break end naa pipili want read hn lens co upgqdj f,0,-2,30,0.0,0
26917,academic break pero bat ako naggagawa ng mga pa activity niyo,academic break bat naggagawa activity niyo,0,0,11,0.0,0
26918,back to reality na sa monday tas isang bagsakan lahat ng deadlines ng reports research groupwork quiz at exam academic break my ass,back reality monday tas bagsakan deadlines reports research groupwork quiz exam academic break ass,0,0,23,0.0,0
26919,I am not inherently better or more worthwhile and deserving than anyone else It breaks my heart that some people would consider me more of a person or a better person because of my academic scientific abilities that got me through a difficult degree program,inherently better worthwhile deserving anyone else breaks heart people would consider person better person academic scientific abilities got difficult degree program,7,-2,45,0.5555555555555556,1
26921,Mu ingun nalng jd ko nga sanaol nay academic break,mu ingun nalng jd nga sanaol nay academic break,0,0,10,0.0,0
26922,Taking a break from my regularly scheduled academic content to say that Wes will soon be a big brother Baby Hubert coming April t co vaD LxKdJ,taking break regularly scheduled academic content say wes soon big brother baby hubert coming april co vad lxkdj,2,0,27,0.3333333333333333,1
26923,Hiloween returning this afternoon after years break Highlight poster session for Mummies message to the world outside our academic bubble Be prepared t co z MUbbTSEF,hiloween returning afternoon years break highlight poster session mummies message world outside academic bubble prepared co z mubbtsef,0,0,26,0.0,0
26924,Ang daming pagawa akala ko academic break ngayon pota,daming pagawa akala academic break pota,0,0,9,0.0,0
26925,Ano to para kameng naka academic break pero may pressure wtfbwkcbs,kameng naka academic break pressure wtfbwkcbs,0,0,11,0.0,0
26926,All this twitter talk about the academic dominance of Asian students I teach at a community college Of course I get some great Asian students I also get Asian students every semester who break the hell out of the stereotypes of diligence punctuality and hard work t co M dM VL s,twitter talk academic dominance asian students teach community college course get great asian students also get asian students every semester break hell stereotypes diligence punctuality hard work co dm vl,4,-3,52,0.14285714285714285,1
26927,Its not related to anything specific umgowo can be caused by academic stress unemployment black tax toxic work environment toxic parents toxic relationship friendship break ups a sick child etc others ke have nice life problems but nabo bayagowa regardless,related anything specific umgowo caused academic stress unemployment black tax toxic work environment toxic parents toxic relationship friendship break ups sick child etc others ke nice life problems nabo bayagowa regardless,3,-7,40,-0.4,0
26928,Dapat di na lang nagpa academic break kung papagawa na yung chapt ng research na yan,di lang nagpa academic break papagawa yung chapt research yan,0,0,16,0.0,0
26929,haha em na naman sinisisi here akala siguro academic break lang ako,haha em naman sinisisi akala siguro academic break lang,0,0,12,0.0,0
26930,Kamusta academic break nag break na din ba kayo,kamusta academic break nag break ba kayo,0,-4,9,0.0,0
26931,hindi po uso ang academic break sa feu hahshshs,po uso academic break feu hahshshs,0,-2,9,0.0,0
26932,namimiss ko na mag kpop academic break when huhhuh sasabog na po utak q i swear t co pB vASVDvx,namimiss mag kpop academic break huhhuh sasabog po utak q swear co pb vasvdvx,0,0,20,0.0,0
26934,academic break na may halong performance task Oo,academic break halong performance task oo,0,0,8,0.0,0
26935,bakit ang daming need gawin kahit academic break at higit sa lahat bakit ang tamad tamad ko,daming need gawin academic break higit tamad tamad,0,-3,17,0.0,0
26936,masyado naman iyackin ng CSO there s no harm naman in admitting na kulang talaga sila sa urgency kaya hindi rin agad na approve yung petition for academic break,naman iyackin cso harm naman admitting talaga urgency rin agad approve yung petition academic break,3,-4,29,-0.14285714285714285,0
26937,Nasa academic break mood pa rin akoooooo Tamad na tamad parin kumilos haha,nasa academic break mood rin akoooooo tamad tamad parin kumilos haha,0,-3,13,0.0,0
26938,We only have a handful of dates available for residential stays this academic year We have availability for a Just before Christmas stay on Dec a New Year s stay on Jan a Winter break stay on Jan Contact us for further info,handful dates available residential stays academic year availability christmas stay dec new year stay jan winter break stay jan contact us info,5,0,43,0.6666666666666666,1
26939,Oh yeah one thing that struck me about AQ Act Chapter dream loop part is how it makes you question whether wisdom is only all about rigid academic pursuits by showing wisdom in key characters who break from this convention an artist a mercenary and a literal child,oh yeah one thing struck aq act chapter dream loop part makes question whether wisdom rigid academic pursuits showing wisdom key characters break convention artist mercenary literal child,4,-3,48,0.14285714285714285,1
26941,luuuh naki sabay sa academic break,luuuh naki sabay academic break,0,0,6,0.0,0
26942,feel na feel ko ngayon ang academic break shutaaa hahhahahaha,feel feel academic break shutaaa hahhahahaha,0,0,10,0.0,0
26943,academic breaks arent enough i need to die,academic breaks arent enough need die,1,-2,8,-0.3333333333333333,0
26946,academic break po t co uV XtlYjWE,academic break po co uv xtlyjwe,0,0,7,0.0,0
26947,Wagani tay events academic break na ba,wagani tay events academic break ba,0,0,7,0.0,0
26948,one month break made me forget that im somebody with academic responsibilities and i have exams when i get back next week t co TTbBt nL,one month break made forget im somebody academic responsibilities exams get back next week co ttbbt nl,0,0,26,0.0,0
26949,i need a rest but i have to do a lot of homeworks and activities i need a goddamn academic break,need rest lot homeworks activities need goddamn academic break,3,0,21,0.5,1
26950,Susulitin ang academic break,susulitin academic break,0,0,4,0.0,0
26951,Academic break pero sunod sunod mga activities,academic break sunod sunod activities,0,0,7,0.0,0
26952,ChE Week With the release of Memo No OP from the Office of the President ChESS have decided to postpone the ChE Week Please be advised that the new schedule of our ChElebrations will take place on Nov Have fun amp enjoy the rest day of our academic break t co pECikbKxNW t co LQKPRVf E,che week release memo op office president chess decided postpone che week please advised new schedule chelebrations take place nov fun amp enjoy rest day academic break co pecikbkxnw co lqkprvf e,2,0,56,0.3333333333333333,1
26953,abi nakog academic break nganong naay activities,abi nakog academic break nganong naay activities,0,0,7,0.0,0
26954,ayoko na mag academic break lage na laang ako naiyak sa kwarto,ayoko mag academic break lage laang naiyak kwarto,0,-2,12,0.0,0
26956,unsay academic break oy HAHAHAHA,unsay academic break oy hahahaha,0,0,5,0.0,0
26957,I thought academic break pinag luloloko nue ba aq,thought academic break pinag luloloko nue ba aq,0,0,9,0.0,0
26958,Just realized that I base d my worth on academic achievement Thats why when I failed I never allow myself to go out or enjoy the sem break Or when I have nothing to be proud of I never really want to say anything Hmm,realized base worth academic achievement thats failed never allow go enjoy sem break nothing proud never really want say anything hmm,4,-2,45,0.3333333333333333,1
26959,Akoy buhat sakong own academic break,akoy buhat sakong academic break,0,0,6,0.0,0
26960,I want to break this down explain the different dialects and how the academic language was agreed upon but I m tired Let me make coffee,want break explain different dialects academic language agreed upon tired let make coffee,0,-2,26,0.0,0
26963,feel na feel ko talaga tong academic break kaso ang boring naman kapag taong bahay lang,feel feel talaga tong academic break kaso boring naman taong bahay lang,1,-2,16,-0.3333333333333333,0
26964,more complicated and inaccessable doesn t equal more complexity or depth amp if you can t break a concept down and explain it to a non academic then how useful or beneficial is that concept,complicated inaccessable equal complexity depth amp break concept explain non academic useful beneficial concept,4,-2,35,0.3333333333333333,1
26965,academic break daw pero ang daming gagawin,academic break daw daming,0,0,7,0.0,0
26966,Del Rosario Kung titignan natin ang OVPAA memo nabanggit lamang doon na hindi pwede mag set ng deadline during the reading break itself Nagkaroon ng loophole na naabuso Na pe pressure ang mga faculty na masunod ang academic year dahil makokompromiso ang benefits na nila,del rosario titignan natin ovpaa memo pwede mag set deadline reading break loophole naabuso pe pressure faculty masunod academic year makokompromiso benefits,1,-3,45,-0.5,0
26967,seatworks na may konting academic break,seatworks konting academic break,0,0,6,0.0,0
26968,Yung Academic Break namin itinaon ng may bagyo at holiday,yung academic break itinaon bagyo holiday,0,0,10,0.0,0
26971,Ma am glo naka break kayo Aya Kunana hahaha Hindi ako makasagot kung Anong break bwiset hahaha ma am ayosin mo kung Anong break hahaha yawa Academic break Pala,glo naka break kayo aya kunana hahaha makasagot anong break bwiset hahaha ayosin mo anong break hahaha yawa academic break pala,0,-5,29,0.0,0
26972,bat kasi cancelled yung academic break sabay dec pa ang resched,bat kasi cancelled yung academic break sabay dec resched,0,0,11,0.0,0
26973,basin gadamgo rako nga academic break ba ataya aning subraan tas chill oy,basin gadamgo rako nga academic break ba ataya aning subraan tas chill oy,0,-2,13,0.0,0
26974,akala ko academic break na e HAHAHA,akala academic break e hahaha,0,0,7,0.0,0
26975,lami unta iscuba diving ang academic break,lami unta iscuba diving academic break,0,0,7,0.0,0
26977,academic break pero ang daming pagawa so sang part ako magpapahinga,academic break daming pagawa sang part magpapahinga,0,0,11,0.0,0
26978,dipa feel ang academic break na iyon,dipa feel academic break,0,0,7,0.0,0
26979,sinabay sa academic break yung midterm namin tamavayorn,sinabay academic break yung midterm tamavayorn,0,0,8,0.0,0
26980,academic break pero may face to face interview for student council warafak,academic break face face interview student council warafak,0,0,12,0.0,0
26981,academic break,academic break,0,0,2,0.0,0
26982,May Academic Calamity Break nga pero nag tambak naman sila ng sobrang daming activity,academic calamity break nga nag tambak naman sobrang daming activity,0,0,14,0.0,0
26983,Ba t pa sinabi na academic break kung wala din naman talaga pahinga sa module,ba sinabi academic break wala naman talaga pahinga module,2,-4,15,-0.3333333333333333,0
26984,Academic break my ass,academic break ass,0,0,4,0.0,0
26985,La man lang academic break c ulol,la man lang academic break c ulol,0,-2,7,0.0,0
26986,This week might be the hardest day of my life in college It was supposed to be our academic break but one professor had to ruin it for everyone He assigned his students to do advanced learning which will take us days to finish and we have until the end of our break,week might hardest day life college supposed academic break one professor ruin everyone assigned students advanced learning take us days finish end break,1,-3,53,-0.5,0
26987,academic break nga dadalihan ako ng tanong na ganon nakakasura na,academic break nga dadalihan tanong ganon nakakasura,0,0,11,0.0,0
26989,Good afternoon everyone Since tapos na undas break ko by tomorrow I m open na po for academic commissions Just answer the inquiry form po,good afternoon everyone since tapos undas break tomorrow open po academic commissions answer inquiry form po,0,0,25,0.0,0
26992,same academic break pls,academic break pls,0,0,4,0.0,0
26993,Nagka academic break para magbreakdown,nagka academic break magbreakdown,0,0,5,0.0,0
26994,I dnt think the teacher meant to break you Through his words you got motivated to prove a point and you did Stay humble and dnt show off You are UN representative Carry the dream of many Enjoy your academic achievements,dnt think teacher meant break words got motivated prove point stay humble dnt show un representative carry dream many enjoy academic achievements,4,0,41,0.6,1
26995,Kuwang paman ni nga academic break oyyy pwede i extend hahah,kuwang paman nga academic break oyyy pwede extend hahah,0,0,11,0.0,0
26997,Nilagnat na ko lahat lahat diko pa din natatapos mga activity sa school baka naman Academic break haist,nilagnat diko natatapos activity school baka naman academic break haist,0,-2,18,0.0,0
26998,Wala bang academic break hahahaha,wala bang academic break hahahaha,0,0,5,0.0,0
26999,naol may academic break,naol academic break,0,0,4,0.0,0
27000,Ywa maning kalinturahun sa academic break,ywa maning kalinturahun academic break,0,0,6,0.0,0
27001,Check your local colleges Many allow non students to dj especially on weekends and over academic breaks,check local colleges many allow non students dj especially weekends academic breaks,0,0,17,0.0,0
27002,Cute ng academic break ng bsu weekdays talaga yung samin weekends talaga apaka HWHAHAHAH eme,cute academic break bsu weekdays talaga yung samin weekends talaga apaka hwhahahah eme,2,0,15,0.3333333333333333,1
27003,May academic break ang batstateu pero shet we are working with our research like hell HAHAHAH,academic break batstateu shet working research like hell hahahah,1,-2,16,-0.3333333333333333,0
27004,Seeing my stressed batchmates because of arduous requirements and this is supposed to be our academic break,seeing stressed batchmates arduous requirements supposed academic break,0,-2,17,0.0,0
27005,academic break bat ako gagawa,academic break bat gagawa,0,0,5,0.0,0
27006,Boang man sguro kas inyong baranggay ser Magpa make up class nya academic break,boang man sguro kas baranggay ser magpa make class nya academic break,0,0,14,0.0,0
27007,Kala koba academic break bat may pagawa ng research title jusko,kala koba academic break bat pagawa research title jusko,0,0,11,0.0,0
27008,Nakuha ko pang mabored sa academic break samantalang nagrereview na sila for midterms,nakuha pang mabored academic break samantalang nagrereview midterms,0,0,13,0.0,0
27010,I already did my pts and I still have days till academic break is done I ll be reading bye,already pts still days till academic break done reading bye,0,0,20,0.0,0
27011,the day academic break isnt real may ginagawa pa rin ako putangina,day academic break isnt real rin putangina,0,-2,12,0.0,0
27012,I m pretty sure it s because it was the only weekend available years ago when I reserved the venue when the only calendar available was the academic on showing spring break amp the state holiday that some call Easter but STILL,pretty sure weekend available years ago reserved venue calendar available academic showing spring break amp state holiday call easter still,3,0,42,0.5,1
27013,A seemingly bright line breaks down with independent advisors who are also brokers and retail investors from mass market to affluent can pay the price in lower after tax gains in their retirement portfolios according to recent academic research t co LToqJbrplX,seemingly bright line breaks independent advisors also brokers retail investors mass market affluent pay price lower tax gains retirement portfolios according recent academic research co ltoqjbrplx,3,0,42,0.5,1
27015,malapit na matapos ang academic break susko parang walang nangyari,malapit matapos academic break susko parang nangyari,1,-2,10,-0.3333333333333333,0
27016,Maayo pang uban naay academic break,maayo pang uban naay academic break,0,0,6,0.0,0
27017,Wait walang academic break yung public school,wait academic break yung public school,0,-2,7,0.0,0
27018,Academic break namin,academic break,0,0,3,0.0,0
27019,Mag sariling academic break,mag sariling academic break,0,0,4,0.0,0
27020,halos mag lag phone q pag open ng shvtang mess yan naka academic break tayo a ba t need pa iopen yan,halos mag lag phone q pag open shvtang mess yan naka academic break ba need iopen yan,1,-3,22,-0.5,0
27021,good luck with your school i m on academic break now,good luck school academic break,2,0,11,0.3333333333333333,1
27022,di pa tapos academic health break may assignment na naman,di tapos academic health break assignment naman,0,0,10,0.0,0
27023,akala ko academic break pero bat paschool ako,akala academic break bat paschool,0,0,8,0.0,0
27024,Di ko naramdaman ang academic break,di naramdaman academic break,0,0,6,0.0,0
27025,dineclared yata yung academic break para uminom ako ng walang lubay,dineclared yata yung academic break uminom lubay,0,-2,11,0.0,0
27026,academic break down,academic break,0,0,3,0.0,0
27027,will be inactive for a while since academic break is over will continue voting once i have spare time,inactive since academic break continue voting spare time,1,-2,19,-0.3333333333333333,0
27028,ywa way academic break ang bdc dira mura nakog zombie kay sayo ang klase permi,ywa way academic break bdc dira mura nakog zombie kay sayo klase permi,0,-2,15,0.0,0
27029,Buti pa si pres naka academic break din haha,buti si pres naka academic break haha,0,-2,9,0.0,0
27030,T y t u p sa academic break,u p academic break,0,0,8,0.0,0
27031,anugang bilis ng academic health break na yan aa huwebes na agad e,anugang bilis academic health break yan aa huwebes agad e,0,0,13,0.0,0
27033,taking a break and I mean a break allows you space You can return to studies when you are ready but again these are time bound years Speak to your academic advisor or student support they are the best people to assist Good luck x,taking break mean break allows space return studies ready time bound years speak academic advisor student support best people assist good luck x,6,-2,45,0.5,1
27034,Not sure the year but this indicates Harvard would need to dip into the nd academic index decile a bit to get enough AfAm applicants to compare with top th decile AsAm applicants which is coincidentally where the personal scores break in favor of th dec AsAms t co MDEqcoqDdC,sure year indicates harvard would need dip nd academic index decile bit get enough afam applicants compare top th decile asam applicants coincidentally personal scores break favor th dec asams co mdeqcoqddc,4,0,50,0.6,1
27035,Does thinking about academic reporting cause you to break out in a cold sweat There is another way with SEQTAs continuous reporting tool Find out how by joining our Live Webinar End of Year Reports on Monday November at pm Register t co DuphAeGBoE edtech t co H FixynGm,thinking academic reporting cause break cold sweat another way seqtas continuous reporting tool find joining live webinar end year reports monday november pm register co duphaegboe edtech co h fixyngm,1,-2,49,-0.3333333333333333,0
27036,deped academic break baka naman,deped academic break baka naman,0,0,5,0.0,0
27037,Working on an academic calendar really hits last couple months of the year Holidays finals winter break,working academic calendar really hits last couple months year holidays finals winter break,0,0,17,0.0,0
27038,The MAGA GOP is coming to break the kneecap of our democracy in a few days However our AG Garland is going slowly over academic issues to stop this Voter intimidation armed watchers in AZ continues Lake eternal election denier is winning,maga gop coming break kneecap democracy days however ag garland going slowly academic issues stop voter intimidation armed watchers az continues lake eternal election denier winning,2,-4,42,-0.3333333333333333,0
27039,Yes and that s very interesting from an academic perspective Have there been any studies conducted that have examined the psychology behind this Here we have a country w mil citizens and yet no one seem to be able to break the bubble It s simply fascinating,yes interesting academic perspective studies conducted examined psychology behind country w mil citizens yet one seem able break bubble simply fascinating,3,0,47,0.5,1
27040,Race is used as a crutch because it s easy to fine and easy to blame It s all about culture You have a culture of academic success and that trickles down generations You don t it won t There s always the exception that breaks through,race used crutch easy fine easy blame culture culture academic success trickles generations always exception breaks,7,-2,47,0.5555555555555556,1
27041,Give the man a break he was is a academic geologist turned into an astronaut,give man break academic geologist turned astronaut,2,0,15,0.3333333333333333,1
27042,hindi ako makatulog academic break for me pls,makatulog academic break pls,0,-2,8,0.0,0
27043,Opps We forgot to welcome you yesterday but please know we look forward to the month of November We love the hustle and bustle right into the first break of the academic year So happy belated welcome November t co Weq dKJwJ,opps forgot welcome yesterday please know look forward month november love hustle bustle right first break academic year happy belated welcome november co weq dkjwj,5,-2,42,0.42857142857142855,1
27046,my academic advisor told me to take a break after this degree they know it s useless,academic advisor told take break degree know useless,1,-2,17,-0.3333333333333333,0
27047,academic break or breakdown,academic break breakdown,0,-2,4,0.0,0
27048,i m having a break down rn bcos of a fucking grade and that s so pathetic but i m pathetic because i ve been seeing my value my worth base on my performance academic performance base on my marks base on my scores base on my average i m so fucking pathetic,break rn bcos fucking grade pathetic pathetic seeing value worth base performance academic performance base marks base scores base average fucking pathetic,3,-6,53,-0.3333333333333333,0
27049,During its first meeting in November the Academic Senate discussed the upcoming semester break various faculty and student concerns and updates to CMU s online education programs t co wYt u fCZ,first meeting november academic senate discussed upcoming semester break various faculty student concerns updates cmu online education programs co wyt u fcz,0,-2,32,0.0,0
27050,kung kelan academic break tsaka naman wala magawa at wala pa mapanood na maganda,kelan academic break tsaka naman wala magawa wala mapanood maganda,1,-3,14,-0.5,0
27051,Ako si Juris mula sa at ako ay patuloy na nananawagan para sa ligtas abot kamay at de kalidad na balik eskwela Kasama sa panawagang ito ang genuine academic break at academic ease policies sa aming mga pamantasan Tuloy ang ating laban NoStudentLeftBehind t co bHIxngpjCy,si juris patuloy nananawagan ligtas abot kamay de kalidad balik eskwela kasama panawagang genuine academic break academic ease policies pamantasan tuloy nostudentleftbehind co bhixngpjcy,4,-2,46,0.3333333333333333,1
27052,Academic break ba ituuuuuu,academic break ba ituuuuuu,0,0,4,0.0,0
27053,i need a break from academic stress,need break academic stress,1,-2,7,-0.3333333333333333,0
27054,Also nobody in those comments remembers that he said he s a full time student and school nowadays will work u to the bone in such an insular academic environment that you already end up so stressed and on edge that anything on top of that pressure can make u break down,also nobody comments remembers said full time student school nowadays work u bone insular academic environment already end stressed edge anything top pressure make u break,3,-2,52,0.2,1
27055,academic break na puro gawain,academic break puro gawain,0,0,5,0.0,0
27056,ang gagawin ko lang sa one week academic break namin ay magsaulo ng mga naiwang kpop dance trend at maglaba ng sang katutak na damit,lang one week academic break magsaulo naiwang kpop dance trend maglaba sang katutak damit,0,0,25,0.0,0
27057,HAHAHAHA fordaa academic break kuno mami,hahahaha fordaa academic break kuno mami,0,0,6,0.0,0
27058,Academic break pero parang kami ang ma be break kasi tinambakan ng schoolworks haha,academic break parang break kasi tinambakan schoolworks haha,0,-2,14,0.0,0
27059,academic break pero binabaliw kami ng feasi,academic break binabaliw feasi,0,0,7,0.0,0
27060,EXCYSE ME BUT WHY DOES TOXIC MOTIVATION WORK FOR ME BUT WHEN PEOOLE SAY IT S OKAY YIU TRIED YOUR HARDES TAKE A BREAK I DON T DO SHIT I REALLY NEED THAT ACADEMIC RIVAL TELLING ME AH YIY CANT CATCH UP TO ME YES BITCH I CAN WATCH ME it just works better,excyse toxic motivation work peoole say okay yiu tried hardes take break shit really need academic rival telling ah yiy cant catch yes bitch watch works better,2,0,54,1.0,1
27061,academic break years ulit t co yDjzOkWuoI,academic break years ulit co ydjzokwuoi,0,0,7,0.0,0
27062,Naneto Academic break pero hindi makapag rest,naneto academic break makapag rest,0,-2,7,0.0,0
27064,Academic break daw tas binagsakan ng limpak na gawain nanetong bohai na to,academic break daw tas binagsakan limpak gawain nanetong bohai,0,0,13,0.0,0
27065,Extend nyo pa academic break pls,extend nyo academic break pls,0,0,6,0.0,0
27067,May academic break nga tbak naman ang activity ko gagawin ko wala rin,academic break nga tbak naman activity wala rin,0,-2,13,0.0,0
27069,tanginang academic break pero may assignment,tanginang academic break assignment,0,0,6,0.0,0
27070,I love how you ve just run with this Let me break it to you I m not an academic and I don t have to meet the standards you adhere to when publishing work I m not looking for peer review and clearly what I have said would be a reasonable thing to explore if I was,love run let break academic meet standards adhere publishing work looking peer review clearly said would reasonable thing explore,5,0,58,0.6666666666666666,1
27071,pwede mag academic break napud kapoy pa man,pwede mag academic break napud kapoy man,0,0,8,0.0,0
27072,bakit ba kasi hindi maintindihan ng green school na to na hindi no quizzes assignments ang kailangan ng students BREAK PO ACADEMIC BREAK pagod na kami sagad na tapos ang expectations matataas na scores,ba kasi maintindihan green school quizzes assignments students break po academic break pagod sagad tapos expectations matataas scores,0,-3,34,0.0,0
27073,wlang academic break samin papatayin Kasi ng maaga eh,wlang academic break samin papatayin kasi maaga eh,0,0,9,0.0,0
27074,academic break pero parang hindi,academic break parang,0,-2,5,0.0,0
27075,joke lang puta masyado pang maaga susulitin ko na academic break na yan,joke lang puta pang maaga susulitin academic break yan,0,-3,13,0.0,0
27076,When the academic break turns into academic stress,academic break turns academic stress,0,-2,8,0.0,0
27077,ill eventually learn how to do shading n coloring Maybe on my academic break nxt month w hopeee,ill eventually learn shading n coloring maybe academic break nxt month w hopeee,0,0,18,0.0,0
27078,Ako si Noriel mula sa at ako ay patuloy na nananawagan para sa ligtas abot kamay at de kalidad na balik eskwela Kasama sa panawagang ito ang genuine academic break at academic ease policies sa aming mga pamantasan Tuloy ang ating laban NoStudentLeftBehind t co clWtsaBKlG,si noriel patuloy nananawagan ligtas abot kamay de kalidad balik eskwela kasama panawagang genuine academic break academic ease policies pamantasan tuloy nostudentleftbehind co clwtsabklg,4,-2,46,0.3333333333333333,1
27079,academic break ko so ala ka pake t co b VjoCHbis,academic break ala pake co b vjochbis,0,0,11,0.0,0
27080,Sabi sayo magsarili na ng academic break eh,sayo magsarili academic break eh,0,0,8,0.0,0
27081,hoi putangina bounce nako academic break daw pero bat may activities,hoi putangina bounce nako academic break daw bat activities,0,-2,11,0.0,0
27082,BREAK If you care about living in a world in which liberty is a lived reality and not some abstract academic construct stop urging Ukrainians to surrender t co w gl Ljz,break care living world liberty lived reality abstract academic construct stop urging ukrainians surrender co w gl ljz,3,0,32,0.5,1
27083,Anywho deserve namin ng isa pang academic break tangina sinabay kase yung break sa undas amputa,anywho deserve pang academic break tangina sinabay kase yung break undas amputa,0,-4,16,0.0,0
27084,wala akong review kc nag academic break aq ok,wala akong review kc nag academic break aq ok,0,-3,9,0.0,0
27085,Ako si Gwen mula sa at patuloy na nananawagan para sa ligtas abot kamay at de kalidad na balik eskwela Kasama na dito ang genuine academic break at academic ease policies sa aming mga pamantasan Tuloy ang ating laban NoStudentLeftBehind t co rl Kzig P,si gwen patuloy nananawagan ligtas abot kamay de kalidad balik eskwela kasama genuine academic break academic ease policies pamantasan tuloy nostudentleftbehind co rl kzig p,4,-2,45,0.3333333333333333,1
27086,di na gyud ni madalag academic break imaaa mass promotion napud bi HAHAHAHAHAAHAH,di gyud madalag academic break imaaa mass promotion napud bi hahahahahaahah,0,0,13,0.0,0
27087,omg did u say academic break thats so cool what kind of books you like to read,omg u say academic break thats cool kind books like read,2,0,17,0.3333333333333333,1
27088,academic break pero di nagmomove ng deadlines,academic break di nagmomove deadlines,0,0,7,0.0,0
27089,asan ang academic break sabi ko dahil may quiz bukas,asan academic break quiz bukas,0,0,10,0.0,0
27090,Naka academic break kasi kaya wala munang papasok kahit hanggang gate pa yan t co dQrBaneW y,naka academic break kasi wala munang papasok gate yan co dqrbanew,1,-2,17,-0.3333333333333333,0
27091,academic break hindi na ako updated sa enhypen,academic break updated enhypen,0,-2,8,0.0,0
27092,dapat pina lunes nalang yung pasok e para naman ma sulit ng konti academic break lol,pina lunes nalang yung pasok e naman sulit konti academic break lol,0,-2,16,0.0,0
27093,Earlier today the Officers council paid a courtesy visit to our Patrons and Patroness after a long break from academic activities SelflessHumanitarians t co XpQz Ti,earlier today officers council paid courtesy visit patrons patroness long break academic activities selflesshumanitarians co xpqz ti,2,0,26,0.3333333333333333,1
27094,Kung unsa ka long ang weekend mao pud ka long akong pag academic break gagi,unsa long weekend mao pud long akong pag academic break gagi,0,-2,15,0.0,0
27095,academic break puh an waray pabalon na hirimuon,academic break puh waray pabalon hirimuon,0,0,8,0.0,0
27096,nakaka stress na pala ulit after academic break,nakaka stress pala ulit academic break,0,-3,8,0.0,0
27098,pa academic break naman diyan,academic break naman diyan,0,0,5,0.0,0
27099,kami na walng academic break t co liBKeze IT,walng academic break co libkeze,0,0,9,0.0,0
27100,need ko pa academic break fls,need academic break fls,0,0,6,0.0,0
27101,ginawa ang academic break hindi para tapuson ang backlogs ginawa ito para maghanap at magbasa ng aus t co MDso Hh,academic break tapuson backlogs maghanap magbasa aus co mdso hh,0,-2,21,0.0,0
27102,After a break for summer fun and great fall conferences get ready for the first EGSRounds of the academic year will be presenting on a case with the triple threat of EGS Join us at Friday PM EST via Zoom comment below or DM to join t co sHCMZ AOM,break summer fun great fall conferences get ready first egsrounds academic year presenting case triple threat egs join us friday pm est via zoom comment dm join co shcmz aom,5,-3,50,0.25,1
27103,Ako si Jord mula sa BH LFS MB at ACS at ako ay patuloy na nananawagan para sa ligtas abot kamay at de kalidad na balik eskwela Kasama sa panawagang ito ang genuine academic break at academic ease policies sa aming mga pamantasan Tuloy ang ating laban NoStudentLeftBehind t co mux XUVSJ,si jord bh lfs mb acs patuloy nananawagan ligtas abot kamay de kalidad balik eskwela kasama panawagang genuine academic break academic ease policies pamantasan tuloy nostudentleftbehind co mux xuvsj,4,-2,52,0.3333333333333333,1
27105,Y all our class alr freaking started this morning How is this an academic break lt random gt MAMAVOTE txt,class alr freaking started morning academic break lt random gt mamavote txt,0,-3,20,0.0,0
27106,twitter twitter kay academic break pero ang sticky notes ta ya isa pa lang ka task ang nakuritan hahaha,twitter twitter kay academic break sticky notes ta ya lang task nakuritan hahaha,0,-2,19,0.0,0
27107,academic break talaga loh wala din,academic break talaga loh wala,1,-3,6,-0.5,0
